55 kg,,,,,,
Snatch,None Established,,,,,
Clean & Jerk,None Established,,,,,
Total,None Established,,,,,
61 kg,,,,,,
Snatch,Byron Noon,BAM Weightlifting Club,97,2/7/2020,2020 National Junior Championships,
Clean & Jerk,Byron Noon,BAM Weightlifting Club,115,2/7/2020,2020 National Junior Championships,
Total,Byron Noon,BAM Weightlifting Club,212,2/7/2020,2020 National Junior Championships,
67 kg,,,,,,
Snatch,Alexander Jenkins,Olympic Weightlifting Club at VA Tech,73,6/29/2021,Rosedale Open 2024,"Rosedale, MD"
Clean & Jerk,Alexander Jenkins,Olympic Weightlifting Club at VA Tech,73,6/29/2021,Rosedale Open 2024,"Rosedale, MD"
Total,Alexander Jenkins,Olympic Weightlifting Club at VA Tech,73,6/29/2021,Rosedale Open 2024,"Rosedale, MD"
73 kg,,,,,,
Snatch,Michael Duffy,East Coast Gold,100,3/8/2020,2020 Nike American Open Series 1,
Clean & Jerk,Keshav Nair,Resolute Athletcs,120,3/8/2020,2020 Nike American Open Series 1,
Total,Michael Duffy,East Coast Gold,220,3/8/2020,2020 Nike American Open Series 1,
81 kg,,,,,,
Snatch,Connor Popielarz,Heavy Metal Barbell,131,3/1/2024,Nike 2024 National University Championships,
Clean & Jerk,Caleb Goodman,RVA Weightlifting,187,12/6/2020,2020 Online American Open Finals,
Total,Connor Popielarz,Heavy Metal Barbell,302,3/1/2024,Nike 2024 National University Championships,
89 kg,,,,,,
Snatch,Caleb Goodman,RVA Weightlifting,146,7/1/2023,2023 Nike USA Weightlifting National Championships,
Clean & Jerk,Caleb Goodman,RVA Weightlifting,187,7/1/2023,2023 Nike USA Weightlifting National Championships,
Total,Caleb Goodman,RVA Weightlifting,333,7/1/2023,2023 Nike USA Weightlifting National Championships,
96 kg,,,,,,
Snatch,Lucas Brinson,BASA Weightlifting,134,1/13/2024,Rosedale Open 2024,"Rosedale, MD"
Clean & Jerk,Lucas Brinson,BASA Weightlifting,165,1/13/2024,Rosedale Open 2024,"Rosedale, MD"
Total,Lucas Brinson,BASA Weightlifting,299,1/13/2024,Rosedale Open 2024,"Rosedale, MD"
102 kg,,,,,,
Snatch,Caleb Weakland,Stoneage Weightlifting,150,12/10/2023,2023 Nike North American Open Finals,
Clean & Jerk,Aaron Nice,Unaffiliated,184,6/29/2023,"2023 Nike National Junior Championships,",
Total,Caleb Weakland,Stoneage Weightlifting,330,12/10/2023,2023 Nike North American Open Finals,
109 kg,,,,,,
Snatch,Caleb Weakland,Stoneage Weightlifting,146,3/2/2024,Nike 2024 National University Championships,
Clean & Jerk,Caleb Weakland,Stoneage Weightlifting,178,3/2/2024,Nike 2024 National University Championships,
Total,Caleb Weakland,Stoneage Weightlifting,324,3/2/2024,Nike 2024 National University Championships,
109+ kg,,,,,,
Snatch,Logan Cohn,Unaffiliated,95,8/7/2022,2022 DMV WSO Championship and Old Dominion Classic,
Clean & Jerk,Vincent Shelah,Southside Barbell Club,124,1/20/2024,RVA Open 2024,
Total,Vincent Shelah,Southside Barbell Club,234,1/20/2024,RVA Open 2024,
